date,type,size,shares,price,value,margin_posted,realized_pnl,cost,cumulative_pnl,cumulative_cost,net_pnl
2016-08-29,open,110000.00000000001,538.160469667319,204.4,110000.00000000001,11000.000000000002,0.0,5.500000000000001,0.0,5.500000000000001,-5.500000000000001
2016-10-13,close,-110000.00000000001,-538.160469667319,217.0,110000.00000000001,,6780.821917808217,11.248339358343712,6780.821917808217,16.748339358343713,6764.073578449874
2016-10-13,open,-114966.78716687422,-529.8008625201577,217.0,114966.78716687422,11496.678716687422,0.0,11.248339358343712,6780.821917808217,27.996678716687427,6752.8252390915295
2016-11-28,close,114966.78716687422,529.8008625201577,204.0,114966.78716687422,,6887.41121276205,5.748339358343711,13668.233130570268,33.74501807503114,13634.488112495237
2017-01-25,open,123663.40754972442,605.5994493130481,204.2,123663.40754972442,12366.340754972443,0.0,6.1831703774862214,13668.233130570268,39.92818845251736,13628.304942117751
2017-03-20,close,-123663.40754972442,-605.5994493130481,222.0,123663.40754972442,,10779.670197772264,6.1831703774862214,24447.90332834253,46.11135883000358,24401.791969512527
2017-08-30,open,-74269.12991778967,-343.2030033169578,216.4,74269.12991778967,7426.912991778968,0.0,3.713456495889484,24447.90332834253,49.82481532589306,24398.078513016637
2017-10-30,close,74269.12991778967,343.2030033169578,234.6,74269.12991778967,,-6246.294660368628,3.713456495889484,18201.608667973902,53.538271821782544,18148.070396152118
2019-03-22,open,42622.47314305461,187.764198868082,227.0,42622.47314305461,4262.247314305461,0.0,2.1311236571527306,18201.608667973902,55.66939547893527,18145.939272494965
2019-08-23,close,-42622.47314305461,-187.764198868082,234.6,42622.47314305461,,1427.007911397422,2.1311236571527306,19628.616579371323,57.800519136088,19570.816060235236
2019-09-11,open,-108933.09245275141,-463.15090328550775,235.2,108933.09245275141,10893.309245275143,0.0,5.446654622637571,19628.616579371323,63.24717375872557,19565.369405612597
2019-10-02,close,108933.09245275141,463.15090328550775,234.0,108933.09245275141,,555.781083942604,9.152956867207084,20184.39766331393,72.40013062593266,20111.997532687994
2019-10-02,open,74126.04489139025,316.77796962132584,234.0,74126.04489139025,7412.604489139026,0.0,9.152956867207084,20184.39766331393,81.55308749313974,20102.84457582079
2020-01-17,close,-74126.04489139025,-316.77796962132584,235.4,74126.04489139025,,443.48915746985796,8.66401401800196,20627.886820783788,90.2171015111417,20537.669719272646
2020-01-17,open,-99154.23546864896,-421.2159535626549,235.4,99154.23546864896,9915.423546864897,0.0,8.66401401800196,20627.886820783788,98.88111552914367,20529.005705254644
2020-02-10,close,99154.23546864896,421.2159535626549,231.0,99154.23546864896,,1853.3501956756838,4.957711773432448,22481.237016459472,103.83882730257612,22377.398189156895
2020-04-03,open,-135465.0052600633,-587.9557519968025,230.4,135465.0052600633,13546.500526006332,0.0,6.773250263003166,22481.237016459472,110.61207756557928,22370.624938893892
2020-11-20,close,135465.0052600633,587.9557519968025,243.4,135465.0052600633,,-7643.424775958432,6.773250263003166,14837.81224050104,117.38532782858245,14720.426912672458
2021-01-05,open,122461.46522055678,480.995542892996,254.6,122461.46522055678,12246.146522055678,0.0,6.123073261027839,14837.81224050104,123.50840108961029,14714.30383941143
2021-03-01,close,-122461.46522055678,-480.995542892996,259.8,122461.46522055678,,2501.1768230435873,9.590217463812218,17338.989063544628,133.0986185534225,17205.890444991204
2021-03-01,open,-69342.88405568755,-266.9087146100367,259.8,69342.88405568755,6934.2884055687555,0.0,9.590217463812218,17338.989063544628,142.68883601723473,17196.300227527394
2021-04-07,close,69342.88405568755,266.9087146100367,278.6,69342.88405568755,,-5017.883834668693,3.4671442027843775,12321.105228875935,146.1559802200191,12174.949248655916
2021-08-09,open,75913.12119364919,261.95003862542853,289.8,75913.12119364919,7591.312119364919,0.0,3.7956560596824596,12321.105228875935,149.95163627970157,12171.153592596233
2021-11-03,close,-75913.12119364919,-261.95003862542853,304.2,75913.12119364919,,3772.080556206165,3.7956560596824596,16093.1857850821,153.74729233938405,15939.438492742716
2021-12-28,open,54909.10774710775,186.13256863426358,295.0,54909.10774710775,5490.9107747107755,0.0,2.7454553873553875,16093.1857850821,156.49274772673942,15936.69303735536
2022-02-10,close,-54909.10774710775,-186.13256863426358,310.4,54909.10774710775,,2866.441556967655,2.7454553873553875,18959.627342049753,159.2382031140948,18800.389138935658
2022-05-11,open,76410.02918542018,222.51027718526552,343.4,76410.02918542018,7641.002918542018,0.0,3.820501459271009,18959.627342049753,163.05870457336582,18796.568637476386
2022-06-10,close,-76410.02918542018,-222.51027718526552,319.2,76410.02918542018,,-5384.748707883423,7.201008927558154,13574.878634166329,170.25971350092397,13404.618920665405
2022-06-10,open,-67610.14936574288,-211.8112448801469,319.2,67610.14936574288,6761.014936574288,0.0,7.201008927558154,13574.878634166329,177.46072242848211,13397.417911737846
2022-07-18,close,67610.14936574288,211.8112448801469,292.0,67610.14936574288,,5761.265860739993,3.3805074682871443,19336.144494906323,180.84122989676925,19155.303265009552
2022-09-06,open,-71286.0779326762,-238.41497636346554,299.0,71286.0779326762,7128.60779326762,0.0,3.56430389663381,19336.144494906323,184.40553379340307,19151.73896111292
2022-10-07,close,71286.0779326762,238.41497636346554,277.0,71286.0779326762,,5245.129479996242,3.56430389663381,24581.273974902564,187.96983769003688,24393.304137212526
2022-11-02,open,39627.84623899217,137.5966883298339,288.0,39627.84623899217,3962.784623899217,0.0,1.9813923119496086,24581.273974902564,189.9512300019865,24391.32274490058
2023-01-19,close,-39627.84623899217,-137.5966883298339,305.0,39627.84623899217,,2339.1437016071764,7.300838657099156,26920.41767650974,197.25206865908564,26723.165607850653
2023-01-19,open,-106388.92690299095,-348.8161537802982,305.0,106388.92690299095,10638.892690299095,0.0,7.300838657099156,26920.41767650974,204.5529073161848,26715.864769193555
2023-02-03,close,106388.92690299095,348.8161537802982,312.0,106388.92690299095,,-2441.7130764620874,5.319446345149547,24478.70460004765,209.87235366133433,24268.832246386315
2023-03-01,open,-76820.16241847898,-263.08274800848966,292.0,76820.16241847898,7682.0162418478985,0.0,3.8410081209239495,24478.70460004765,213.7133617822583,24264.991238265393
2023-08-22,close,76820.16241847898,263.08274800848966,324.0,76820.16241847898,,-8418.64793627167,3.8410081209239495,16060.056663775982,217.55436990318225,15842.5022938728
2024-01-25,open,101863.83990891773,306.8187949063787,332.0,101863.83990891773,10186.383990891773,0.0,5.093191995445887,16060.056663775982,222.64756189862814,15837.409101877354
2024-05-09,close,-101863.83990891773,-306.8187949063787,345.0,101863.83990891773,,3988.644333782923,5.093191995445887,20048.700997558906,227.74075389407403,19820.96024366483
2024-11-06,open,84242.35327054812,240.69243791585177,350.0,84242.35327054812,8424.235327054812,0.0,4.2121176635274065,20048.700997558906,231.95287155760144,19816.748126001305
2025-01-15,close,-84242.35327054812,-240.69243791585177,352.6,84242.35327054812,,625.8003385812201,4.2121176635274065,20674.501336140125,236.16498922112885,20438.336346918997
2025-04-03,open,127390.20521492187,351.90664424011567,362.0,127390.20521492187,12739.020521492188,0.0,6.369510260746093,20674.501336140125,242.53449948187495,20431.966836658252
2025-05-22,close,-127390.20521492187,-351.90664424011567,362.8,127390.20521492187,,281.52531539209656,6.369510260746093,20956.026651532222,248.90400974262104,20707.1226417896
2025-07-29,open,53004.43680175279,145.37695228127478,364.6,53004.43680175279,5300.443680175279,0.0,2.6502218400876396,20956.026651532222,251.5542315827087,20704.472419949514
